text,score
"With No Dead Heroes you get stupid lines like that as this woefully abysmal action flick needs to be seen to be believed. William Sanders is saved by his buddy Harry Cotter during an extraction in Vietnam but gets himself captured by the enemy. Fast forward ten years and Harry is now a brainwashed Russian operative with a mind control microchip implanted in his brain. His new Russian superior is Ivan played to the obscene hilt by Nick Nicholson who might I add not only doesn't attempt once to speak with a Russian accent but resembles more a gas station attendant in Kentucky with his stained teeth. What is even more absurd is the fact that he was also the dialog coach for this film. Soon William is re-recruited by the CIA to hunt Harry down. He teams up with Barbara, a freedom fighter who has infiltrated Ivan's El Salvador camp and soon the both of them are blowing up half of South America. Some scenes are so jaw droppingly awful that it's a wonder why this film doesn't have more of a cult following. One such scene is the sudden lovemaking in the jungle by William and Barbara accompanied by the most inappropriate catterwalling background music I've ever heard. Who would strip completely nude in the middle of a South American jungle? There is a rape scene that uses the end theme from Blood on Satan's Claw as well. No Dead Heroes is the magic bullet movie champion of all time as one shot leads to multiple kills. In one scene Harry strafes his rifle from behind a rock and kills seven guys. I had to rewind it and count. Hard to find film that has recently gotten the full HD treatment by MGM. Track this movie down and watch it for the sheer silliness that ensues.",0
"I thought maybe... maybe this could be good. An early appearance by the Re-Animator (Jeffery Combs); many homage's to old horror movies; the Troma label on the front this movie could be a gem! I thought wrong.<br /><br />Frightmare is a boring, overplayed, half assed homage to the fright films of yore. The story is an old one, young people breaking into a house, getting drunk, making love, and tampering with things that shouldn't be tampered with. The oft  recycled slasher film formula is used here, this time with a thought to be dead actor named Conrad Radzoff doing the killing. In fact, the performance by the Radzoff's actor Ferdy Mayne is the only redeeming quality of this film. He does the snooty Dracula style character very well. But as for the kids, its not so good, with Combs only having a minimal part.<br /><br />The film lacks entertainment value, and only features one cool character, and one or two scenes that can hold your attention. I do not recommend this film unless you are desperate for something to watch, and this is the only movie left at blockbuster.",0
"An elite American military team which of course happens to include two good looking women and a guy who can't quite grasp teamwork, lots of bats, some terrorists, and a Spetznaz team that acts like the gang that can't shoot straight -- all thrown together in a jumbled plot with mediocre acting. This one has nothing much going for it. The characters are not compelling. Even the setting, which has great possibilities, looks like something out of the middle of rural Pennsylvania, not an exotic Boreal forest in Eastern Europe.<br /><br />The bats are certainly ferocious looking. They can even pick up a man and fly with him for a few feet (harpies?) or chop off an arm. You see Delta force surrounded by hundreds of bats with a guys shooting assault rifles and pistols at them and bat flopping to the ground. It would be like trying to shoot skeet with a rifle from a distance of 3 feet. Utterly clueless. The dialogue is rancidly unrealistic, with boy/girl jokes and flirts in the middle of tense parts of the mission. One of the team is blown up by a mine and the first one on the scene just stares sadly at his body, stunned, not even bothering to take cover or secure the area. In fact AFTER the rest of the group shows up he talks about how the area is laid out like a minefield -- thanks for the heads up bub.<br /><br />If you want a contrast in how a horror movie involving a small military group can be done well on a low budget check out Outpost. Harvest is not the movie you want to see. In fact I think I'm going to give it a two instead of a three if I can make it through the second half. Seems unlikely at this point.",0
"Ridiculous horror film about a wealthy man (John Carradine) dying and leaving everything to his four children, and his servants to be divided up equally. One condition--they must spend one week in his estate to get the money. And if any of them die, the others get more. Guess what happens next.... <br /><br />I saw a brand new print of this film on cable. The colors were bright and vivid and the house itself looks beautiful. That's about all the good things I can say about it.<br /><br />Let's list just some of the problems this film has: the killer is screamingly obvious; the servants are called Igor and Elga--come on!; some of the sound recording was so bad I couldn't make out the dialogue (no great loss I'm sure); the gore was sparse and very poorly done; the other murders were simply boring, stupid or impossible and this movie contains some truly abominable acting--so bad you just stare at the screen in disbelief. Even pro Jeff Morrow was terrible! The only fairly good acting was from trouper Faith Domergue (who deserved better than this) and John Carradine (who looks painfully old and frail here). I do have to admit though--the closing line in this movie is a gem!<br /><br />Why this was renamed ""Legacy of Blood"" is beyond me--there's another 1978 horror film with that name!<br /><br />Whatever its name is, it's a bad movie. To be avoided at all costs.",0
"Well, if you are one of those Katana's film-nuts (just like me) you sure will appreciate this metaphysical Katana swinging blood spitting samurai action flick.<br /><br />Starring Tadanobu Asano (Vital, Barren Illusion) & Ryu Daisuke (Kagemusha). This samurai war between Heiki's clan versus Genji's clan touch the zenith in the final showdown at Gojo bridge. The body-count is countless.<br /><br />Demons, magic swords, Shinto priests versus Buddhist monks and the beautiful visions provided by maestro Sogo Ishii will do the rest.<br /><br />A good Japanese flick for a rainy summer night.",1
"I'm so confused. I've been a huge Seagal fan for 25 years. I've seen all of his films, and many of those dozens of times. I can only describe this film as ""bizarre."" Steven Seagal shares screenplay writing and producing credits on this film, but I have a really tough time believing he would choose to dub over his own voice for so many of his lines, with a thin, whiny imposter's voice no less. What I also don't get is, if they had to dub SOME of his lines, why does his own voice appear on the rest of them? I expect Seagal to age like the rest of us. But the Seagal in this movie barely exudes a fraction of the same swagger, confidence, bravado, charm, and sex-appeal he so easily showed us in ALL of his previous movies. What I found myself missing most of all was his cocky, self-assured attitude and his bad-ass sneer that so easily shifts into that adorable grin. Where is that in-your-face attitude and charm that made him such a huge star??? I hope that this film is not an indication of what Seagal has left to offer us - if so, his lifelong fans will have to concede that the Seagal we all knew and loved is gone.",0
"This movie is not that interesting, except for the first ten minutes. The pace and editing are a perfect introduction in an ensemble piece, even better than say Gosford Park. Then it inexplicably slows down, loses focus and starts resembling a traditional French movie only to regain focus in the end with the love relation between Antoine (Depardieu) and Cécile (Deneuve). In the middle there are too many sidelines and loose ends in the story, several threads started are not ended.<br /><br />*******SPOILERS AHEAD The main story is the relation between Antoine and Cécile. He has been loyal to her after his relation with her many years ago, despite her remarrying and setting up home in Morocco. As builder he now rebuilds his own life and recovers hers by taking the mask of Cécile's marriage. Having accomplished this, he is buried after a freak accident (literally) and becomes a comatose. He wakes only after she has burned their old picture as indication that they've reconciled with the past and can properly start their lives again together. *******END OF SPOILERS<br /><br />It remains unclear what vision this director wants us to see us because there are so many other stories here: Illegal immigrants want to enter Europe, there are frequent radio broadcasts about the overthrow of Iraq's former regime. Cécile's child is bisexual and is bitten by dogs (loyalty) once he meets his boyfriend, whereas the girl he lives with seems to be sick (of that?). Her sister is traditional Islamic, and enters a relation with Cécile's husband. It portrays Morocco as unnecessary backward, despite all the building there is a strange colonial vision shining through that almost glorifies the past. It portrays Islam as backward and prone to extremism, which may sometimes be true, but certainly not in general. In the end it can all best be described as adding some couleur locale and l'art pour l'art.<br /><br />Deneuve and Depardieu are great. With this material they are so familiar they are able to spin something extra in every scene: lifting an eyebrow, body language, radiating pride, awkward behavior. The movie itself is disappointing and only confirming the limited role of French cinema in the world nowadays. With some notable exceptions of course.",0
"This movie starts slow, then tapers off. After watching for about an hour, and seeing absolutely nothing happen, I walked out. I mean, nothing happened. Zero. Zip. Nada. There is no story. The characters are vague representations of the most boring people any of us know. The producers of this film could be sued in a court of law if they try to sell it as a ""motion"" picture. There is no motion. I could have told the same ""story"" with a couple still pictures with captions. The script is a joke. It's just awful. I doubt that any script doctor in the world could save it. My biggest regret is not that I wasted 60 minutes of my life watching ""Love In the Time of Money"", but that I missed a great opportunity to be a leader. I could have been the first to walk out, but I waited a bit too long. Instead, I watched about 20 people walk out before me.",0
"<br /><br />**********SPOILER ALERT***************<br /><br />If you happen to like JURASSIC PARK 1, 2, or 3:<br /><br />If you happen to appreciate really bad movies for their sheer entertainment value if not for their quality (case in point-John Carpenter's DARK STAR-highly recommended)<br /><br />If you happen to like movies about dinosaurs in general-<br /><br />THEN STAY AWAY FROM THIS CINEMATIC CRAPSTERPIECE!<br /><br />The shameless use of stock footage from CARNOSAUR 1 & 2 make up most of this miserable attempt at a dino/slasher flick- Take the scene, for instance, where the security guard meets his doom at the jaws of the Alpha T-Rex. For some reason, he drops about 50 pounds and appears 10 years younger. Why is that? Simply because this scene was lifted directly from CARNOSAUR, which was a crummy flick to begin with.<br /><br />The ending was a carbon copy of CARNOSAUR 2, for those unfortunate enough to have sat through that straight-to-video loser. Again, we see Mr. Rex do battle against a bulldozer-which alternates as a forklift truck-through the miracle of -ta-daa!- stock footage from the aforementioned CARNOSAUR 1 & 2. Of course, the ending is exactly the same-the beast falls to his death just as the complex goes up in flames.<br /><br />A real insult to anyone's intelligence.<br /><br />But it's still better than watching the ROSIE O' DONNEL SHOW.<br /><br />Rating: 1/2* out of *****<br /><br />",0
"You want to know what the writers of this movie consider funny? A robot child sees his robot parents killed (beheaded, as I recall), and then moves between their bodies calling their names. Yeah--what a comic moment. This is the worst movie I ever paid to see.",0
"This was a very well scripted movie. Great fun if you just want a stupid film. Not great production value (ok, the sound really sucked) but the performance of Danny Masterson more than makes up for it.<br /><br />Watch this movie and laugh out loud!",1
"I'm grading this film on a curve, in other words, it isn't the greatest film that has ever been made but it does exactly what it set out to do. This is an excellent T&A film. I have no idea the count of how many T's or A's were seen in this film but I did see one shot that had 16 bare T's at one time, just to give you an idea. There are topless girls all throughout. There is a wet T-shirt contest scene. And the climax involves a game of touch football between two all-girl teams and every time one scores a touchdown the entire opposing team losing a piece of clothes. I don't know why this gets such a low rating here. Perhaps the people who gave it low scores thought they were going to see Citizen Kane. I love this movie and hope to find more similar ones. If you are looking for a GOOD campy T&A film I'd recommend this one.",1
"My wife, Kate and I absolutely loved the series and can't wait for the next one (hopefully there is a sequel!). I would love to know what the catchy song is called and who wrote it, maybe because I am ""old and grey"" and still interested in life:-). If anyone has the full lyrics please send them.<br /><br />Of course one big reason why my wife and I liked this series so much was that we are 75 years old and retired but still very active intellectually. It's great to see a show that highlights the contribution to society that can still be made by older people with special skills and experience. The human interest aspect showing the interactions of the characters and the younger people around them is an important part of the show.<br /><br />This series is highly entertaining and very sophisticated, on a par with some of our other favourites, ""Spooks"" and ""Hustle"".",1
"A study of one of those universally familiar, physical and/or emotional states: isolation. I think the film also comments on cultural displacement too.<br /><br />The film presents the experiences of two Turkish men (cousins). One has money (and the comforts that come of having 'made-it' with a steady income); the other has none and goes in search of work. Neither are happy. Expect no celebration of life here - this is loneliness, warts and all.<br /><br />The film succeeds in offering a powerfully bleak traverse across the 'low lands' of the human condition. Brave film-making. Well-acted and well-shot in my view (outdoor shots by the harbour being my own favourites). A film that should inspire gratitude in anyone who is not a stranger to happiness and fulfilment in life (not to mention employment); everyone else will find a companion in this film. A film with all the warmth and pace of an ice-floe. Expect a bitter pill, not a 'happy pill.'",1
